Global Unit,Organizational Unit,Date,Company,MHW (C + NC),MHW ( C ),# Employees (C+NC),# Employees (C)
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-03-01,Company,567.0,567.0,3.0,3.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-03-01,Company,801.0,801.0,5.0,5.0
Development Vice Presidency,Resources Development Management,2019-03-01,Company,5856.5,5856.5,32.0,32.0
SHE Vice Presidency,Health and Safety Management,2019-03-01,Company,6268.5,6268.5,33.0,33.0
Development Vice Presidency,Project Services Management,2019-03-01,Company,5409.0,5409.0,27.0,27.0
SHE Vice Presidency,Health and Safety Management,2019-03-01,Contractors,10056.0,10056.0,58.0,58.0
Operations Vice Presidency,Technical Services Management,2019-03-01,Company,15923.0,15923.0,88.0,88.0
Development Vice Presidency,Project Services Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-03-01,Company,3513.464285714286,3513.464285714286,19.0,19.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-03-01,Company,585.0,585.0,6.0,6.0
Vice Presidency of Community Relations,Community Relations Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-03-01,Company,1458.0,1458.0,8.0,8.0
Commercial Vice Presidency,finance management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Studies Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Pit3 Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Resources Development Management,2019-03-01,Contractors,32988.0,32988.0,183.0,183.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Technical Services Management,2019-03-01,Contractors,34102.0,34102.0,179.0,179.0
Development Vice Presidency,Development Vice Presidency,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-03-01,Company,4631.75,4631.75,26.0,26.0
